央视频道,#genre#
CCTV-1综合,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3$1黑NFD回
CCTV-1综合,http://39.134.65.198/PLTV/88888888/224/3221225816/1.m3u8$2黑移FD回
CCTV-1综合,http://gf.you123.fun:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$3闽电FD直
CCTV-1综合,http://117.144.58.42:35455/gaoma/cctv1.m3u8$4沪移FD直
CCTV-1综合,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$5黑移FD回
CCTV-1综合,http://2000.run:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$6苏电FD直
CCTV-1综合,http://z.b.bkpcp.top/m.php?id=cctv1$7美CFD直
CCTV-1综合,http://www.terrykang.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$8豫电FD直
CCTV-2财经,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$1黑移HD回
CCTV-2财经,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$2豫移FD直
CCTV-2财经,http://117.144.58.42:35455/gaoma/cctv2.m3u8$3沪移FD直
CCTV-2财经,http://z.b.bkpcp.top/m.php?id=cctv2$4美CFD直
CCTV-2财经,http://gf.you123.fun:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$5闽电FD直
CCTV-2财经,http://2000.run:35455/itv/1000000001000023315.m3u8?cdn=ystenlive$6苏电FD直
CCTV-3综艺,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3$1黑NFD回
CCTV-3综艺,http://183.255.10.90:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT$2琼移FD直
CCTV-3综艺,http://39.134.65.196/PLTV/88888888/224/3221225799/1.m3u8$3黑移FD回
CCTV-3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$4黑移FD回
CCTV-3综艺,http://112.46.85.60:8009/hls/3/index.m3u8$5陕移FD直
CCTV-3综艺,http://z.b.bkpcp.top/m.php?id=cctv3$6美CFD直
CCTV-3综艺,http://gf.you123.fun:35455/itv/1000000005000265003.m3u8?cdn=ystenlive$7闽电FD直
CCTV-3综艺,http://117.144.58.42:35455/gaoma/cctv3.m3u8$8沪移FD直
CCTV-4中文国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$1黑移HD回
CCTV-4中文国际,http://39.134.67.110/PLTV/88888888/224/3221226092/1.m3u8$2黑移FD回
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4$3美CFD直
CCTV-4中文国际,http://2000.run:35455/itv/1000000005000265004.m3u8?cdn=ystenlive$4苏电FD直
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4o$5美CFD直
CCTV-5体育,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3$1黑NFD回
CCTV-5体育,http://112.46.85.60:8009/hls/503/index.m3u8$2陕移FD直
CCTV-5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$3黑移FD回
CCTV-5体育,http://117.144.58.42:35455/gaoma/cctv5.m3u8$4沪移FD直
CCTV-5体育,http://z.b.bkpcp.top/m.php?id=cctv5$5美CFD直
CCTV-5体育,http://2000.run:35455/itv/1000000005000265005.m3u8?cdn=ystenlive$6苏电FD直
CCTV-6电影,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$1黑移FD回
CCTV-6电影,http://39.135.133.157/wh7f454c46tw2037044632_2010184924/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8?icpid=88888888&RTS=1736916876&from=23&hms_devid=1247&vqe=3$2黑NFD回
