央视频道,#genre#
CCTV-1综合,http://113.17.36.38:5050/udp/239.81.0.102:4056
CCTV-1综合,http://182.138.136.195:4455/udp/239.93.0.184:5140
CCTV-1综合,http://host.gaoxincloud.cn:4000/udp/239.109.205.118:8880
CCTV-2财经,http://113.17.36.38:5050/udp/239.81.0.115:4056
CCTV-2财经,http://182.138.136.195:4455/udp/239.93.1.23:6000
CCTV-2财经,http://host.gaoxincloud.cn:4000/udp/239.109.205.106:8784
CCTV-3综艺,http://113.17.36.38:5050/udp/239.81.0.231:4056
CCTV-3综艺,http://182.138.136.195:4455/udp/239.93.1.11:2223
CCTV-3综艺,http://host.gaoxincloud.cn:4000/udp/239.109.205.79:8568
CCTV-4中文国际,http://113.17.36.38:5050/udp/239.81.0.96:4056
CCTV-4中文国际,http://182.138.136.195:4455/udp/239.93.1.105:5140
CCTV-4中文国际,http://host.gaoxincloud.cn:4000/udp/239.109.205.159:9108
CCTV-5体育,http://113.17.36.38:5050/udp/239.81.0.232:4056
CCTV-5体育,http://182.138.136.195:4455/udp/239.93.1.12:2224
CCTV-5体育,http://host.gaoxincloud.cn:4000/udp/239.109.205.80:8576
CCTV-6电影,http://113.17.36.38:5050/udp/239.81.0.233:4056
CCTV-6电影,http://182.138.136.195:4455/udp/239.93.1.13:2226
CCTV-6电影,http://host.gaoxincloud.cn:4000/udp/239.109.205.84:8608
CCTV-7国防军事,http://113.17.36.38:5050/udp/239.81.0.116:4056
CCTV-7国防军事,http://182.138.136.195:4455/udp/239.93.1.67:5140
CCTV-7国防军事,http://host.gaoxincloud.cn:4000/udp/239.110.205.7:9774
CCTV-8电视剧,http://113.17.36.38:5050/udp/239.81.0.234:4056
CCTV-8电视剧,http://182.138.136.195:4455/udp/239.93.42.39:5140
CCTV-8电视剧,http://host.gaoxincloud.cn:4000/udp/239.109.205.90:8656
CCTV-9纪录,http://113.17.36.38:5050/udp/239.81.0.117:4056
CCTV-9纪录,http://182.138.136.195:4455/udp/239.93.1.24:5140
CCTV-9纪录,http://host.gaoxincloud.cn:4000/udp/239.110.205.8:9778
CCTV-10科教,http://113.17.36.38:5050/udp/239.81.0.118:4056
CCTV-10科教,http://182.138.136.195:4455/udp/239.93.1.28:5140
CCTV-10科教,http://host.gaoxincloud.cn:4000/udp/239.110.205.9:9782
CCTV-11戏曲,http://113.17.36.38:5050/udp/239.81.0.229:4056
CCTV-11戏曲,http://182.138.136.195:4455/udp/239.93.0.102:5140
CCTV-11戏曲,http://host.gaoxincloud.cn:4000/udp/239.109.205.102:8752
CCTV-12社会与法,http://113.17.36.38:5050/udp/239.81.0.119:4056
CCTV-12社会与法,http://182.138.136.195:4455/udp/239.93.1.30:8124
CCTV-12社会与法,http://host.gaoxincloud.cn:4000/udp/239.110.205.10:9786
CCTV-13新闻,http://113.17.36.38:5050/udp/239.81.0.206:4056
CCTV-13新闻,http://182.138.136.195:4455/udp/239.93.0.66:5140
CCTV-13新闻,http://host.gaoxincloud.cn:4000/udp/239.110.205.99:7880
CCTV-14少儿,http://113.17.36.38:5050/udp/239.81.0.120:4056
CCTV-14少儿,http://182.138.136.195:4455/udp/239.93.1.29:6000
CCTV-14少儿,http://host.gaoxincloud.cn:4000/udp/239.110.205.20:9826
CCTV-15音乐,http://113.17.36.38:5050/udp/239.81.0.230:4056
CCTV-15音乐,http://182.138.136.195:4455/udp/239.93.0.103:5140
CCTV-15音乐,http://host.gaoxincloud.cn:4000/udp/239.109.205.103:8760
CCTV-16奥林匹克,http://113.17.36.38:5050/udp/239.81.0.142:4056
CCTV-16奥林匹克,http://host.gaoxincloud.cn:4000/udp/239.110.205.136:7732
CCTV-17农业农村,http://113.17.36.38:5050/udp/239.81.0.228:4056
CCTV-17农业农村,http://182.138.136.195:4455/udp/239.93.0.92:5140
CCTV-17农业农村,http://host.gaoxincloud.cn:4000/udp/239.109.205.88:8640
CHC动作电影,http://113.17.36.38:5050/udp/239.81.0.239:4056
